web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
1669365995-655,https://shopee.co.id/mall/brands/11042849,commongoods.id,https://shopee.co.id/commongoods.id,Common Goods Official Shop,230,98% (Hitungan Jam),"79,2RB","4.9 (46,8RB Penilaian)",31 Bulan Lalu,,"Common Goods Short Sleeve Oversize T-Shirts - Cinnamon BrownRp99.0001,4RB",https://shopee.co.id/Common-Goods-Short-Sleeve-Oversize-T-Shirts-Cinnamon-Brown-i.253583755.12235941465?sp_atk=032f364b-7477-4e46-9831-cc84a09158c9&xptdk=032f364b-7477-4e46-9831-cc84a09158c9,Common Goods Short Sleeve Oversize T-Shirts - Cinnamon Brown,,"1,4RB", min. belanja Rp20.000,"Favorit (1,1RB)"
1669365996-656,https://shopee.co.id/mall/brands/11042849,commongoods.id,https://shopee.co.id/commongoods.id,Common Goods Official Shop,230,98% (Hitungan Jam),"79,2RB","4.9 (46,8RB Penilaian)",31 Bulan Lalu,,"Common Goods Short Sleeve Oversize T-Shirts - Cinnamon BrownRp99.0001,4RB",https://shopee.co.id/Common-Goods-Short-Sleeve-Oversize-T-Shirts-Cinnamon-Brown-i.253583755.12235941465?sp_atk=b4756af2-76a1-4dab-abe4-e35382b19456&xptdk=b4756af2-76a1-4dab-abe4-e35382b19456,Common Goods Short Sleeve Oversize T-Shirts - Cinnamon Brown,,"1,4RB", min. belanja Rp20.000,"Favorit (1,1RB)"
1669365996-657,https://shopee.co.id/mall/brands/11042849,commongoods.id,https://shopee.co.id/commongoods.id,Common Goods Official Shop,230,98% (Hitungan Jam),"79,2RB","4.9 (46,8RB Penilaian)",31 Bulan Lalu,,"Common Goods Short Sleeve Oversize T-Shirts - Cinnamon BrownRp99.0001,4RB",https://shopee.co.id/Common-Goods-Short-Sleeve-Oversize-T-Shirts-Cinnamon-Brown-i.253583755.12235941465?sp_atk=ee8e887e-b338-4612-9b53-97fbd5c57dda&xptdk=ee8e887e-b338-4612-9b53-97fbd5c57dda,Common Goods Short Sleeve Oversize T-Shirts - Cinnamon Brown,,"1,4RB", min. belanja Rp20.000,"Favorit (1,1RB)"
1669365996-658,https://shopee.co.id/mall/brands/11042849,comicjeans,https://shopee.co.id/comicjeans,Comic Jeans Official Shop,28,90% (Hitungan Jam),"25,9RB",4.8 (657 Penilaian),32 Bulan Lalu,,Comic Jeans - Blue Black 14 Oz Selvedge Accent - Stretch - Celana Jeans Pria dan WanitaRp270.000Rp135.000271,https://shopee.co.id/Comic-Jeans-Blue-Black-14-Oz-Selvedge-Accent-Stretch-Celana-Jeans-Pria-dan-Wanita-i.236684632.5659082950?sp_atk=954597c8-758a-4ea3-b0e0-fe3028944d5f&xptdk=954597c8-758a-4ea3-b0e0-fe3028944d5f,Comic Jeans - Blue Black 14 Oz Selvedge Accent - Stretch - Celana Jeans Pria dan Wanita,,271,,Favorit (401)
1669365996-659,https://shopee.co.id/mall/brands/11042849,cogen.official,https://shopee.co.id/cogen.official,Cogen Official Shop,195,99% (Hitungan Jam),"54,2RB","4.8 (27,7RB Penilaian)",6 Tahun Lalu,,"Cogen Sendal Slop Wanita Sandal Selop Perempuan Rubber Nyaman Kasual PremiumRp180.0002,7RB",https://shopee.co.id/Cogen-Sendal-Slop-Wanita-Sandal-Selop-Perempuan-Rubber-Nyaman-Kasual-Premium-i.15409483.7442162479?sp_atk=68cd5641-0a56-4053-b0ca-7408b0049489&xptdk=68cd5641-0a56-4053-b0ca-7408b0049489,Cogen Sendal Slop Wanita Sandal Selop Perempuan Rubber Nyaman Kasual Premium,,"2,7RB", min. belanja Rp20.000,"Favorit (4,7RB)"
1669365996-660,https://shopee.co.id/mall/brands/11042849,codemaleclothing,https://shopee.co.id/codemaleclothing,Code Male Official Shop,234,100% (Hitungan Jam),"54,3RB","4.8 (31,2RB Penilaian)",30 Bulan Lalu,,"Code Male Jas Blazer Pria Super Black Kancing2 Slim FitDiskon 20%Kombo HematRp999.000Rp75.0003,8RB",https://shopee.co.id/Code-Male-Jas-Blazer-Pria-Super-Black-Kancing2-Slim-Fit-i.268774628.5536444660?sp_atk=abbb661b-a6be-4df0-911f-03796119be79&xptdk=abbb661b-a6be-4df0-911f-03796119be79,Code Male Jas Blazer Pria Super Black Kancing2 Slim Fit,Diskon 20%,"3,8RB",,"Favorit (5,9RB)"
1669365996-661,https://shopee.co.id/mall/brands/11042849,coconutislandofficial,https://shopee.co.id/coconutislandofficial,Coconut Island Official Shop,710,59% (Hitungan Jam),"32,6RB","4.9 (11,6RB Penilaian)",5 Tahun Lalu,,Coconut Island Girl Basic Tee ZGBT008 R1Rp59.960 - Rp149.900141,https://shopee.co.id/Coconut-Island-Girl-Basic-Tee-ZGBT008-R1-i.41144302.7673467159?sp_atk=68c04a9e-cf83-401b-b624-0397fb66ee48&xptdk=68c04a9e-cf83-401b-b624-0397fb66ee48,Coconut Island Girl Basic Tee ZGBT008 R1,,141, min. belanja Rp20.000,Favorit (50)
1669365996-662,https://shopee.co.id/mall/brands/11042849,civity,https://shopee.co.id/civity,Civity Official Shop,46,98% (Hitungan Jam),"3,9RB","4.8 (3,6RB Penilaian)",11 Bulan Lalu,,"Civity Celana Chino Panjang Pria OriginalRp124.800 - Rp134.8006,8RB",https://shopee.co.id/Civity-Celana-Chino-Panjang-Pria-Original-i.645808268.13666587012?sp_atk=b1aae0a8-6345-4e98-a1b0-591206626f16&xptdk=b1aae0a8-6345-4e98-a1b0-591206626f16,Civity Celana Chino Panjang Pria Original,,"6,8RB", min. belanja Rp20.000,"Favorit (5,5RB)"
1669365997-663,https://shopee.co.id/mall/brands/11042849,champiro,https://shopee.co.id/champiro,CHAMPIRO Official Shop,44,90% (Hitungan Jam),"10,1RB","4.9 (14,1RB Penilaian)",5 Tahun Lalu,,"Champiro Celana Dalam Pria 3 pcs BlackBoxer Boxer Pria C0333CRp180.0001,9RB",https://shopee.co.id/Champiro-Celana-Dalam-Pria-3-pcs-BlackBoxer-Boxer-Pria-C0333C-i.36251063.1716510767?sp_atk=7baa1fcf-f50e-40c2-bd69-45884d066477&xptdk=7baa1fcf-f50e-40c2-bd69-45884d066477,Champiro Celana Dalam Pria 3 pcs BlackBoxer Boxer Pria C0333C,,"1,9RB",,Favorit (668)
1669365997-664,https://shopee.co.id/mall/brands/11042849,chameleon.officialshop,https://shopee.co.id/chameleon.officialshop,Chameleon Indonesia Official Shop,70,37% (Hitungan Jam),491,4.7 (166 Penilaian),24 Bulan Lalu,,Chameleon Celana Dalam Pria Trunk 2 warna / pack - TCHB10T2CSA1Rp99.90039,https://shopee.co.id/Chameleon-Celana-Dalam-Pria-Trunk-2-warna-pack-TCHB10T2CSA1-i.340741553.9713755688?sp_atk=f53f9c3c-8f28-49c4-b4f0-6db3541cc7ba&xptdk=f53f9c3c-8f28-49c4-b4f0-6db3541cc7ba,Chameleon Celana Dalam Pria Trunk 2 warna / pack - TCHB10T2CSA1,,39,,Favorit (19)
1669365997-665,https://shopee.co.id/mall/brands/11042849,official.ch_pth,https://shopee.co.id/official.ch_pth,CH PTH Your Style Starts Here Official Shop,30,50%,572,5.0 (2 Penilaian),22 Bulan Lalu,,CH PTH Sweater Hoodie Pria Pullover Hoodie ch pth five colors blackRp350.000300,https://shopee.co.id/CH-PTH-Sweater-Hoodie-Pria-Pullover-Hoodie-ch-pth-five-colors-black-i.376645628.10915229182?sp_atk=47c763e8-c3c4-44b5-a8ec-eba97d0ef2f5&xptdk=47c763e8-c3c4-44b5-a8ec-eba97d0ef2f5,CH PTH Sweater Hoodie Pria Pullover Hoodie ch pth five colors black,,300,,Favorit (5)
1669365997-666,https://shopee.co.id/mall/brands/11042849,celciusmen,https://shopee.co.id/celciusmen,Celcius Official Store,2RB,91% (Hitungan Jam),"194,3RB","4.8 (49,2RB Penilaian)",5 Tahun Lalu,,CELCIUS Denim Pants Skinny Look A06272C BiruDiskon Rp30RBRp505.000163,https://shopee.co.id/CELCIUS-Denim-Pants-Skinny-Look-A06272C-Biru-i.56547435.8713829528?sp_atk=606472c1-20a9-4f0c-a542-576e1e8a491e&xptdk=606472c1-20a9-4f0c-a542-576e1e8a491e,CELCIUS Denim Pants Skinny Look A06272C Biru,Diskon Rp30RB,163, min. belanja Rp20.000,Favorit (243)
1669365997-667,https://shopee.co.id/mall/brands/11042849,cdlofficial,https://shopee.co.id/cdlofficial,CDL Official Shop,206,78% (Hitungan Jam),"1,6RB",4.7 (447 Penilaian),19 Bulan Lalu,,CDL Celana Panjang Sopan 7 (Hitam)Diskon 10%Rp379.90027,https://shopee.co.id/CDL-Celana-Panjang-Sopan-7-(Hitam)-i.429008590.10316618180?sp_atk=38876fbf-aa24-4831-99a6-2c994ae46ba2&xptdk=38876fbf-aa24-4831-99a6-2c994ae46ba2,CDL Celana Panjang Sopan 7 (Hitam),Diskon 10%,27, min. belanja Rp300.000,Favorit (21)
1669365997-668,https://shopee.co.id/mall/brands/11042849,castles.id,https://shopee.co.id/castles.id,Castles.id Official Shop,280,82% (Hitungan Jam),"13,3RB",4.7 (8RB Penilaian),24 Bulan Lalu,,"Castles.id Flannel Shirt Navy Plaid Red S-XXLRp299.0001,5RB",https://shopee.co.id/Castles.id-Flannel-Shirt-Navy-Plaid-Red-S-XXL-i.341535047.7596090941?sp_atk=ad17e40a-ad25-49a0-89b1-201323986515&xptdk=ad17e40a-ad25-49a0-89b1-201323986515,Castles.id Flannel Shirt Navy Plaid Red S-XXL,,"1,5RB",,Favorit (576)
1669365997-669,https://shopee.co.id/mall/brands/11042849,cartenztactical,https://shopee.co.id/cartenztactical,Cartenz Official Shop,601,96% (Hitungan Jam),"34,5RB","4.9 (5,6RB Penilaian)",5 Tahun Lalu,,Kemeja Lengan Pendek Pria Cartenz Tactical KillzoneDiskon Rp7RBRp275.000513,https://shopee.co.id/Kemeja-Lengan-Pendek-Pria-Cartenz-Tactical-Killzone-i.64473162.4510747952?sp_atk=f04a9399-ca49-4ef6-97f9-e0554b6b2705&xptdk=f04a9399-ca49-4ef6-97f9-e0554b6b2705,Kemeja Lengan Pendek Pria Cartenz Tactical Killzone,Diskon Rp7RB,513, min. belanja Rp20.000,Favorit (556)
