web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
1669355888-1,https://shopee.co.id/mall/brands/11042849,69slam,https://shopee.co.id/69slam,69Slam Official Shop,439,46% (Hitungan Jam),"7,5RB","4.8 (1,7RB Penilaian)",24 Bulan Lalu,,69slam Sandal pria ARSIKI-ATDiskon 20%Murah LebayRp285.000Rp171.000110,https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=5ae4996f-cd6b-4def-b855-32d19d0440ec&xptdk=5ae4996f-cd6b-4def-b855-32d19d0440ec,69slam Sandal pria ARSIKI-AT,Diskon 20%,110, min. belanja Rp300.000,Favorit (31)
1669355888-2,https://shopee.co.id/mall/brands/11042849,4cmstore,https://shopee.co.id/4cmstore,4CM Official Shop,508,36% (Hitungan Jam),"60,8RB","4.7 (28,5RB Penilaian)",5 Tahun Lalu,,4CM Boxer black fireDiskon 50%Murah LebayRp99.00010RB+,https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=4ba4b08e-d450-4297-b10d-3e5785732bec&xptdk=4ba4b08e-d450-4297-b10d-3e5785732bec,4CM Boxer black fire,Diskon 50%,10RB+, min. belanja Rp20.000,Favorit (8RB)
1669355888-3,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000Rp69.300336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=6e9cd381-2a33-4209-a562-08e5ca649976&xptdk=6e9cd381-2a33-4209-a562-08e5ca649976,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355888-4,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=ce85a22c-403d-4a4d-b450-5f7793712171&xptdk=ce85a22c-403d-4a4d-b450-5f7793712171,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355889-5,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000Rp93.500336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=546c377b-9b6c-4dca-9d69-b70b669a2aef&xptdk=546c377b-9b6c-4dca-9d69-b70b669a2aef,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355889-6,https://shopee.co.id/mall/brands/11042849,3secondshop,https://shopee.co.id/3secondshop,3Second Official Shop,"9,2RB",84% (Hitungan Jam),"452,3RB","4.9 (116,4RB Penilaian)",6 Tahun Lalu,,3Second Men Jacket 021021Rp449.50049,https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=40dc660d-16c6-4045-a59e-2f3e6acee390&xptdk=40dc660d-16c6-4045-a59e-2f3e6acee390,3Second Men Jacket 021021,,49,,Favorit (103)
1669355889-7,https://shopee.co.id/mall/brands/11042849,308absltunscrd,https://shopee.co.id/308absltunscrd,308ABSLTUNSCRD Official Shop,"3,2RB",87% (Hitungan Jam),65RB,"4.8 (21,6RB Penilaian)",4 Tahun Lalu,,308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - BlackDiskon 50%Rp25.000Rp93.500184,https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Gitd-Think-Positive-Black-i.93881215.3200350542?sp_atk=94add2bc-0838-4572-8b04-dbeb9fcf8bf7&xptdk=94add2bc-0838-4572-8b04-dbeb9fcf8bf7,308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - Black,Diskon 50%,184, min. belanja Rp40.000,Favorit (65)
1669355889-8,https://shopee.co.id/mall/brands/11042849,3nthreeofficial,https://shopee.co.id/3nthreeofficial,3'NThree Official Shop,241,85% (Hitungan Jam),"7,1RB",4.8 (382 Penilaian),3 Tahun Lalu,,"3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.00032",https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=b2c0e779-aa55-4b39-bb31-3d15dd955741&xptdk=b2c0e779-aa55-4b39-bb31-3d15dd955741,3Nthree kemeja koko Pria Muslim original,"Diskon Rp2,5RB",32, min. belanja Rp40.000,Favorit (9)
1669355890-9,https://shopee.co.id/mall/brands/11042849,2ndred,https://shopee.co.id/2ndred,2nd Red Official Shop,311,86% (Hitungan Jam),"8,9RB","4.8 (13,1RB Penilaian)",5 Tahun Lalu,,"2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp139.850 - Rp151.962Rp93.5004,4RB",https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=23c89404-d1de-42c1-803c-a103528dfc95&xptdk=23c89404-d1de-42c1-803c-a103528dfc95,2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266,Diskon 10%,"4,4RB", min. belanja Rp20.000,"Favorit (4,7RB)"
1669355890-10,https://shopee.co.id/mall/brands/11042849,2fab4you,https://shopee.co.id/2fab4you,2FAB4YOU Official Shop,149,34% (Hitungan Menit),"1,9RB",4.9 (426 Penilaian),4 Tahun Lalu,,2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013,https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=5a1c54ef-4702-492f-9011-b2f3924af44f&xptdk=5a1c54ef-4702-492f-9011-b2f3924af44f,2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/Wanita,,13,,Favorit (9)
1669355890-11,https://shopee.co.id/mall/brands/11042849,seventeenseven,https://shopee.co.id/seventeenseven,17Seven Original Official Shop,"1,8RB",78% (Hitungan Jam),"80,7RB",4.7 (49RB Penilaian),4 Tahun Lalu,,17Seven Original Celana Panjang Chino 015-HITAM-AKRp78.400 - Rp96.482Rp224.75010RB+,https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=d781a60e-febd-4448-9e68-79e7a39f6435&xptdk=d781a60e-febd-4448-9e68-79e7a39f6435,17Seven Original Celana Panjang Chino 015-HITAM-AK,,10RB+,,"Favorit (6,7RB)"
1669355890-12,https://shopee.co.id/mall/brands/11042849,0735_apparel,https://shopee.co.id/0735_apparel,07:35 Official Shop,52,71% (Hitungan Jam),"9,4RB","4.9 (1,4RB Penilaian)",27 Bulan Lalu,,07:35 - Random SaleRp73.500244,https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=0cfd1bf8-03ff-4b20-9370-cacbedd90e1f&xptdk=0cfd1bf8-03ff-4b20-9370-cacbedd90e1f,07:35 - Random Sale,,244,,Favorit (22)
1669355919-13,https://shopee.co.id/mall/brands/11042849,zweckout_label.official,https://shopee.co.id/zweckout_label.official,Zweckout Label Official shop,83,95% (Hitungan Jam),"15,7RB","4.6 (16,3RB Penilaian)",5 Tahun Lalu,,ZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style HitamDiskon Rp5RBMurah LebayRp160.000Rp89.00010RB+,https://shopee.co.id/ZWECKOUT-LABEL-Celana-Joger-Slim-Fit-Skinny-Jogger-Pants-Pria-Korean-Style-Hitam-i.59825614.6716661856?sp_atk=9faed02d-3e72-4dc0-8bc8-ee48bb5f4dc0&xptdk=9faed02d-3e72-4dc0-8bc8-ee48bb5f4dc0,ZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style Hitam,Diskon Rp5RB,10RB+,,"Favorit (5,7RB)"
1669355920-14,https://shopee.co.id/mall/brands/11042849,zhonarmy,https://shopee.co.id/zhonarmy,Zhon Army Official Shop,37,72% (Hitungan Jam),"5,3RB",4.5 (215 Penilaian),4 Bulan Lalu,,ZHON ARMY - Ciel UnderPants - Cd Boxer Pria RandomDiskon 90%Rp50.000 - Rp200.000466,https://shopee.co.id/ZHON-ARMY-Ciel-UnderPants-Cd-Boxer-Pria-Random-i.832121891.16581051299?sp_atk=288b2d82-75af-4c4b-be44-358723fa5124&xptdk=288b2d82-75af-4c4b-be44-358723fa5124,ZHON ARMY - Ciel UnderPants - Cd Boxer Pria Random,Diskon 90%,466,,Favorit (189)
1669355920-15,https://shopee.co.id/mall/brands/11042849,zgzegoboss,https://shopee.co.id/zgzegoboss,ZEGOBOSS Jeans Official Shop,54,87% (Hitungan Jam),"5,1RB",4.8 (1RB Penilaian),27 Bulan Lalu,,ZEGO BOSS Celana Panjang Jeans Stretch Denim Regular Fit (Solid Black)Rp199.900 - Rp239.900444,https://shopee.co.id/ZEGO-BOSS-Celana-Panjang-Jeans-Stretch-Denim-Regular-Fit-(Solid-Black)-i.307319831.7351957312?sp_atk=5e596852-1fa6-4976-bad6-6fbdf4df7fc8&xptdk=5e596852-1fa6-4976-bad6-6fbdf4df7fc8,ZEGO BOSS Celana Panjang Jeans Stretch Denim Regular Fit (Solid Black),,444,,Favorit (240)
1669355920-16,https://shopee.co.id/mall/brands/11042849,zerotwentytwo.id,https://shopee.co.id/zerotwentytwo.id,ZeroTwentyTwo Official Shop,715,83% (Hitungan Jam),"72,3RB","4.8 (18,9RB Penilaian)",3 Tahun Lalu,,"ZeroTwentyTwo T-shirt Transfer Black | Kaos Pria Parodi Plesetan Lucu ThrasherDiskon Rp2RBPilih 2, bayar Rp189.000Rp175.000875",https://shopee.co.id/ZeroTwentyTwo-T-shirt-Transfer-Black-Kaos-Pria-Parodi-Plesetan-Lucu-Thrasher-i.175877695.7115926408?sp_atk=b61d3311-8852-4f87-b87d-b8de905da85f&xptdk=b61d3311-8852-4f87-b87d-b8de905da85f,ZeroTwentyTwo T-shirt Transfer Black | Kaos Pria Parodi Plesetan Lucu Thrasher,Diskon Rp2RB,875,,Favorit (983)
1669355920-17,https://shopee.co.id/mall/brands/11042849,zeroheroes.original,https://shopee.co.id/zeroheroes.original,ZEROHEROES Official Shop,435,97% (Hitungan Jam),"35,9RB","4.9 (12,3RB Penilaian)",4 Tahun Lalu,,"Zeroheroes | Kaos Kaki Tebal Premium Motif Garis OldschoolDiskon Rp1RBMurah LebayRp35.0002,3RB",https://shopee.co.id/Zeroheroes-Kaos-Kaki-Tebal-Premium-Motif-Garis-Oldschool-i.96006998.7450999154?sp_atk=65e2c771-e19f-4622-bee1-bc3536273c9c&xptdk=65e2c771-e19f-4622-bee1-bc3536273c9c,Zeroheroes | Kaos Kaki Tebal Premium Motif Garis Oldschool,Diskon Rp1RB,"2,3RB", min. belanja Rp20.000,"Favorit (1,5RB)"
1669355921-18,https://shopee.co.id/mall/brands/11042849,zaskiamecca.official,https://shopee.co.id/zaskiamecca.official,Zaskia Mecca Official Shop,"1,3RB",100% (Hitungan Jam),"1,9JT","4.8 (890,1RB Penilaian)",6 Tahun Lalu,,"ZM Zaskia Mecca - Penyengat Dusty Green Scarf Kerudung Segi Empat Ultra SonicDiskon 10%Pilih 2, diskon 5%Rp189.0001,4RB",https://shopee.co.id/ZM-Zaskia-Mecca-Penyengat-Dusty-Green-Scarf-Kerudung-Segi-Empat-Ultra-Sonic-i.12654106.6984957612?sp_atk=3c050eda-92c1-43e1-960a-dc98b7f6858d&xptdk=3c050eda-92c1-43e1-960a-dc98b7f6858d,ZM Zaskia Mecca - Penyengat Dusty Green Scarf Kerudung Segi Empat Ultra Sonic,Diskon 10%,"1,4RB",,Favorit (308)
1669355921-19,https://shopee.co.id/mall/brands/11042849,zanettiofficial,https://shopee.co.id/zanettiofficial,Zanetti Official Shop,33,100%,822,4.9 (16 Penilaian),27 Bulan Lalu,,ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam PekatRp249.000Rp94.0003,https://shopee.co.id/ZL-75004-Zanetti-Kemeja-Basic-Polos-Slim-Fit-Lengan-Panjang-Hitam-Pekat-i.300622025.9010811787?sp_atk=456dede0-e073-449f-b172-9d0703836dc6&xptdk=456dede0-e073-449f-b172-9d0703836dc6,ZL 75004 Zanetti Kemeja Basic Polos Slim Fit Lengan Panjang Hitam Pekat,,3,tersisa 33 buah,Favorit (16)
1669355921-20,https://shopee.co.id/mall/brands/11042849,tolliverofficialshop,https://shopee.co.id/tolliverofficialshop,Tolliver Official Shop,"3,3RB",99% (Hitungan Jam),"120,2RB","4.8 (13,7RB Penilaian)",3 Tahun Lalu,,Tolliver Hoodies With Zipper NavyCashback 50%Rp349.000233,https://shopee.co.id/Tolliver-Hoodies-With-Zipper-Navy-i.166667048.4439560886?sp_atk=b9997309-787f-4068-9d27-0d9ac447d11d&xptdk=b9997309-787f-4068-9d27-0d9ac447d11d,Tolliver Hoodies With Zipper Navy,Cashback 50%,233, min. belanja Rp300.000,Favorit (515)
1669355921-21,https://shopee.co.id/mall/brands/11042849,zaemerci,https://shopee.co.id/zaemerci,Zaemerci Official Shop,105,97% (Hitungan Jam),23RB,"4.8 (13,2RB Penilaian)",33 Bulan Lalu,,"Zaemerci - Kimono Kanvas Lengan Panjang Pria | Outer Casual Unisex OriginalDiskon 50%Pilih 2, diskon Rp15.000Rp72.000 - Rp153.000Rp18.7154,8RB",https://shopee.co.id/Zaemerci-Kimono-Kanvas-Lengan-Panjang-Pria-Outer-Casual-Unisex-Original-i.228751626.9915157509?sp_atk=9d4c53ec-a2b1-4ffc-8d90-9809d517f0f7&xptdk=9d4c53ec-a2b1-4ffc-8d90-9809d517f0f7,Zaemerci - Kimono Kanvas Lengan Panjang Pria | Outer Casual Unisex Original,Diskon 50%,"4,8RB",,"Favorit (9,1RB)"
1669355935-22,https://shopee.co.id/mall/brands/11042849,yesterdayofficial,https://shopee.co.id/yesterdayofficial,Yesterday Official Shop,436,94% (Hitungan Jam),"126,1RB",4.7 (132RB Penilaian),3 Tahun Lalu,,"Yesterday Waistbag Full Print Takei BlackDiskon Rp2,5RBPilih 3, bayar Rp195.000Rp195.000Rp70.0002,7RB",https://shopee.co.id/Yesterday-Waistbag-Full-Print-Takei-Black-i.173440820.5556050824?sp_atk=c56f0195-27ab-4898-8f41-ec26109e806e&xptdk=c56f0195-27ab-4898-8f41-ec26109e806e,Yesterday Waistbag Full Print Takei Black,"Diskon Rp2,5RB","2,7RB",,"Favorit (1,6RB)"
1669355936-23,https://shopee.co.id/mall/brands/11042849,yegeindonesia,https://shopee.co.id/yegeindonesia,YEGE Official Shop,592,35% (Hitungan Jam),"7,4RB","4.7 (4,8RB Penilaian)",4 Tahun Lalu,,YEGE Kemeja Koko Pria Putih HADAAD Lengan PanjangRp149.900144,https://shopee.co.id/YEGE-Kemeja-Koko-Pria-Putih-HADAAD-Lengan-Panjang-i.85448016.6642570864?sp_atk=aa648ee6-9d85-4ef0-8b4d-128597a277b6&xptdk=aa648ee6-9d85-4ef0-8b4d-128597a277b6,YEGE Kemeja Koko Pria Putih HADAAD Lengan Panjang,,144,,Favorit (220)
1669355936-24,https://shopee.co.id/mall/brands/11042849,yauds.co,https://shopee.co.id/yauds.co,Yauds.co Official Shop,37,20% (Hitungan Jam),"1,3RB",4.8 (50 Penilaian),4 Tahun Lalu,,YAUDS.co x SPEAK UP TshirtRp220.0008,https://shopee.co.id/YAUDS.co-x-SPEAK-UP-Tshirt-i.128826850.9467307541?sp_atk=ae088178-983a-4d80-bf43-9a3fda988661&xptdk=ae088178-983a-4d80-bf43-9a3fda988661,YAUDS.co x SPEAK UP Tshirt,,8,,Favorit (6)
1669355936-25,https://shopee.co.id/mall/brands/11042849,yardsaleofficial,https://shopee.co.id/yardsaleofficial,Yard Sale Official Shop,690,67% (Hitungan Jam),706,4.9 (102 Penilaian),22 Bulan Lalu,,Yard Sale Costuum Kitsune Nylon Waist Bag OliveRp399.0001,https://shopee.co.id/Yard-Sale-Costuum-Kitsune-Nylon-Waist-Bag-Olive-i.383744581.4081437312?sp_atk=90083270-d880-4459-833b-5ca7edd8d92c&xptdk=90083270-d880-4459-833b-5ca7edd8d92c,Yard Sale Costuum Kitsune Nylon Waist Bag Olive,,1,tersisa 6 buah,Favorit (2)
1669355937-26,https://shopee.co.id/mall/brands/11042849,yamasurih.official,https://shopee.co.id/yamasurih.official,YAMASURIH Official Shop,57,36% (Hitungan Menit),"1,1RB",4.9 (171 Penilaian),30 Bulan Lalu,,"Yamasurih - Kaos Hitam ""Pecker Bozo"" T-ShirtRp200.00034",https://shopee.co.id/Yamasurih-Kaos-Hitam-Pecker-Bozo-T-Shirt-i.272365407.4863866211?sp_atk=22e8752a-5ef4-4463-a44f-e92966e45a69&xptdk=22e8752a-5ef4-4463-a44f-e92966e45a69,"Yamasurih - Kaos Hitam ""Pecker Bozo"" T-Shirt",,34,,Favorit (28)
1669355937-27,https://shopee.co.id/mall/brands/11042849,yajugayaindonesia,https://shopee.co.id/yajugayaindonesia,YAJUGAYA Official Shop,68,87% (Hitungan Jam),"1,4RB",4.9 (233 Penilaian),3 Tahun Lalu,,Yajugaya - SituasuRp215.00036,https://shopee.co.id/Yajugaya-Situasu-i.161754161.2429683023?sp_atk=80cd16ba-4c46-4151-a756-e0fdb1f21ffb&xptdk=80cd16ba-4c46-4151-a756-e0fdb1f21ffb,Yajugaya - Situasu,,36,tersisa 3 buah,Favorit (109)
1669355944-28,https://shopee.co.id/mall/brands/11042849,xxmake_official,https://shopee.co.id/xxmake_official,XXMAKE Official Shop,57,100% (Hitungan Menit),"82,6RB","4.8 (54,3RB Penilaian)",31 Bulan Lalu,,XXMake Elastic Cover Sofa Bed Penutup Sofa Pattern Modern Menarik Sarung Sofa Bed S M L Penutup Sofa Bed ElastisDiskon 50%Murah LebayRp87.000 - Rp118.00010RB+,https://shopee.co.id/XXMake-Elastic-Cover-Sofa-Bed-Penutup-Sofa-Pattern-Modern-Menarik-Sarung-Sofa-Bed-S-M-L-Penutup-Sofa-Bed-Elastis-i.253240817.12446645553?sp_atk=766fe8be-5c6a-4fbb-b8aa-170f9e3ec505&xptdk=766fe8be-5c6a-4fbb-b8aa-170f9e3ec505,XXMake Elastic Cover Sofa Bed Penutup Sofa Pattern Modern Menarik Sarung Sofa Bed S M L Penutup Sofa Bed Elastis,Diskon 50%,10RB+,,"Favorit (8,1RB)"
1669355945-29,https://shopee.co.id/mall/brands/11042849,x8official,https://shopee.co.id/x8official,X8 Clothing,"2,1RB",94% (Hitungan Jam),"159,8RB","4.9 (20,2RB Penilaian)",5 Tahun Lalu,,BLUELINE by X8 Nino T-Shirt Pakaian PriaRp189.900382,https://shopee.co.id/BLUELINE-by-X8-Nino-T-Shirt-Pakaian-Pria-i.66854073.9423501364?sp_atk=3491b3bb-19ff-4594-87a2-786bd8d34c9f&xptdk=3491b3bb-19ff-4594-87a2-786bd8d34c9f,BLUELINE by X8 Nino T-Shirt Pakaian Pria,,382,Ongkos Kirim,Favorit (216)
1669355945-30,https://shopee.co.id/mall/brands/11042849,xurbandabsolute,https://shopee.co.id/xurbandabsolute,X Urband Absolute Official Shop,255,92% (Hitungan Jam),"173,8RB","4.8 (31,3RB Penilaian)",34 Bulan Lalu,,X Urband Absolute Jaket Sukajan Raion Terlaris A096Rp60.000 - Rp89.600Rp94.95010RB+,https://shopee.co.id/X-Urband-Absolute-Jaket-Sukajan-Raion-Terlaris-A096-i.224747419.9127208738?sp_atk=dbadaf21-9a84-411b-ba9d-142f404ae928&xptdk=dbadaf21-9a84-411b-ba9d-142f404ae928,X Urband Absolute Jaket Sukajan Raion Terlaris A096,,10RB+,,"Favorit (14,8RB)"
1669356023-31,https://shopee.co.id/mall/brands/11042849,wickedstitch,https://shopee.co.id/wickedstitch,WSCO Official Shop,97,50% (Hitungan Jam),9RB,4.8 (388 Penilaian),4 Tahun Lalu,,WSCO Tshirt Kaos Pria CatRp185.00021,https://shopee.co.id/WSCO-Tshirt-Kaos-Pria-Cat-i.116319170.7717089037?sp_atk=000e6d01-8423-4ce3-a0e8-69ca72d358a9&xptdk=000e6d01-8423-4ce3-a0e8-69ca72d358a9,WSCO Tshirt Kaos Pria Cat,,21,,Favorit (21)
1669356023-32,https://shopee.co.id/mall/brands/11042849,wranglerofficial,https://shopee.co.id/wranglerofficial,Wrangler Official Shop,"1,1RB",58% (Hitungan Jam),"160,4RB","4.8 (30,2RB Penilaian)",5 Tahun Lalu,,Wrangler Jeans Texasbmcbc01A18Diskon Rp40RBRp459.900568,https://shopee.co.id/Wrangler-Jeans-Texasbmcbc01A18-i.55945766.4815275614?sp_atk=6e615352-bad6-4a1d-b520-c3ba1fbf82bb&xptdk=6e615352-bad6-4a1d-b520-c3ba1fbf82bb,Wrangler Jeans Texasbmcbc01A18,Diskon Rp40RB,568, min. belanja Rp300.000,Favorit (469)
1669356024-33,https://shopee.co.id/mall/brands/11042849,worthid.clothing,https://shopee.co.id/worthid.clothing,Worth ID Official Shop,438,87% (Hitungan Jam),"139,2RB","4.8 (42,5RB Penilaian)",6 Tahun Lalu,,WORTH ID Kemeja Pria Cotton Pique Panjang BlackDiskon 50%Rp130.000 - Rp150.000Rp367.9202RB,https://shopee.co.id/WORTH-ID-Kemeja-Pria-Cotton-Pique-Panjang-Black-i.11950297.1509390338?sp_atk=a0aad120-574b-4697-8410-634b6a3027de&xptdk=a0aad120-574b-4697-8410-634b6a3027de,WORTH ID Kemeja Pria Cotton Pique Panjang Black,Diskon 50%,2RB, min. belanja Rp20.000,"Favorit (2,7RB)"
1669356024-34,https://shopee.co.id/mall/brands/11042849,wormholestore,https://shopee.co.id/wormholestore,Wormhole Official Shop,537,90% (Hitungan Jam),"95,5RB",4.9 (13RB Penilaian),4 Tahun Lalu,,"W.Essentiels Jaket Ecume Oversize Hoodie Olive EssentielsDiskon 10%Rp499.0001,2RB",https://shopee.co.id/W.Essentiels-Jaket-Ecume-Oversize-Hoodie-Olive-Essentiels-i.87216194.1455625420?sp_atk=09b30276-4521-4c17-ad29-7982222b5c27&xptdk=09b30276-4521-4c17-ad29-7982222b5c27,W.Essentiels Jaket Ecume Oversize Hoodie Olive Essentiels,Diskon 10%,"1,2RB","Pengiriman Ke
KOTA MALANG
Ongkos Kirim
Layanan Tidak Tersedia","Favorit (2,5RB)"
1669356024-35,https://shopee.co.id/mall/brands/11042849,workoutstreetwear,https://shopee.co.id/workoutstreetwear,Workout Streetwear Official Shop,343,98% (Hitungan Jam),"112,4RB","4.8 (53,3RB Penilaian)",25 Bulan Lalu,,"Workout Streetwear Kaos Distro Cream BrokeDiskon 10%Pilih 2, bayar Rp145.000Rp68.600 - Rp75.6008RB",https://shopee.co.id/Workout-Streetwear-Kaos-Distro-Cream-Broke-i.327711825.7884871886?sp_atk=1c1c63bb-0641-454d-a6a6-1fc3e30b6114&xptdk=1c1c63bb-0641-454d-a6a6-1fc3e30b6114,Workout Streetwear Kaos Distro Cream Broke,Diskon 10%,8RB,,"Favorit (11,6RB)"
1669356024-36,https://shopee.co.id/mall/brands/11042849,woofpack,https://shopee.co.id/woofpack,Woof Pack Official Shop,88,67% (Hitungan Jam),"2,6RB",4.6 (4RB Penilaian),4 Tahun Lalu,,"Tas Pouch Clutch Aksesoris Wanita Pria Multifungsi Woof Pack TCpouchXmi1Rp70.0002,6RB",https://shopee.co.id/Tas-Pouch-Clutch-Aksesoris-Wanita-Pria-Multifungsi-Woof-Pack-TCpouchXmi1-i.136847255.2090382228?sp_atk=b00edd96-b929-4346-b617-bf9bb83f29c3&xptdk=b00edd96-b929-4346-b617-bf9bb83f29c3,Tas Pouch Clutch Aksesoris Wanita Pria Multifungsi Woof Pack TCpouchXmi1,,"2,6RB", min. belanja Rp20.000,Favorit (973)
1669356025-37,https://shopee.co.id/mall/brands/11042849,woodcutter,https://shopee.co.id/woodcutter,Woodcutter Official Shop,174,96% (Hitungan Jam),"50,3RB","4.8 (22,3RB Penilaian)",6 Tahun Lalu,,"WOODCUTTER Kemeja Green Oakland Flannel ShirtRp189.000Rp474.0501,5RB",https://shopee.co.id/WOODCUTTER-Kemeja-Green-Oakland-Flannel-Shirt-i.11559302.7532185453?sp_atk=41cb323d-c621-4638-89bf-36a55949b327&xptdk=41cb323d-c621-4638-89bf-36a55949b327,WOODCUTTER Kemeja Green Oakland Flannel Shirt,,"1,5RB",,"Favorit (2,5RB)"
1669356025-38,https://shopee.co.id/mall/brands/11042849,woodofficialshop,https://shopee.co.id/woodofficialshop,Wood Official Shop,368,64% (Hitungan Jam),"10,1RB","4.9 (1,9RB Penilaian)",25 Bulan Lalu,,WOOD Modern Fit Chino Pants 2-OPXBSC518O028 SandDiskon Rp20RBRp479.90073,https://shopee.co.id/WOOD-Modern-Fit-Chino-Pants-2-OPXBSC518O028-Sand-i.321648624.3371878387?sp_atk=cd6f179d-f37f-4a80-b5b4-fd396248894e&xptdk=cd6f179d-f37f-4a80-b5b4-fd396248894e,WOOD Modern Fit Chino Pants 2-OPXBSC518O028 Sand,Diskon Rp20RB,73, min. belanja Rp300.000,Favorit (66)
1669356025-39,https://shopee.co.id/mall/brands/11042849,woffimanofficialshop,https://shopee.co.id/woffimanofficialshop,Woffi Man Official Shop,1RB,94% (Hitungan Jam),"9,7RB","4.8 (2,6RB Penilaian)",29 Bulan Lalu,,Woffi Kaos Pria - Denimize StripesRp380.00083,https://shopee.co.id/Woffi-Kaos-Pria-Denimize-Stripes-i.279757087.7345304149?sp_atk=a1c27243-e3fd-4d0e-816f-8a4a7bb1dd20&xptdk=a1c27243-e3fd-4d0e-816f-8a4a7bb1dd20,Woffi Kaos Pria - Denimize Stripes,,83,,Favorit (156)
1669356025-40,https://shopee.co.id/mall/brands/11042849,wkndclothes,https://shopee.co.id/wkndclothes,WKND Official Shop,596,94% (Hitungan Jam),149RB,"4.8 (34,2RB Penilaian)",4 Tahun Lalu,,"WKND Sweater Crewneck Original 1074 Cream Be Bold And BraveRp295.0007,5RB",https://shopee.co.id/WKND-Sweater-Crewneck-Original-1074-Cream-Be-Bold-And-Brave-i.107851093.7877608885?sp_atk=1ecf6e29-5d7a-4ced-bc7d-2cb9a3be3c46&xptdk=1ecf6e29-5d7a-4ced-bc7d-2cb9a3be3c46,WKND Sweater Crewneck Original 1074 Cream Be Bold And Brave,,"7,5RB",,Favorit (35RB)
1669356025-41,https://shopee.co.id/mall/brands/11042849,winofficialshop,https://shopee.co.id/winofficialshop,WIN Indonesia Official Shop,31,73% (Hitungan Jam),"2,7RB",4.7 (388 Penilaian),10 Bulan Lalu,,WIN - Parfume Unisex TravelRp80.000Rp10.900101,https://shopee.co.id/WIN-Parfume-Unisex-Travel-i.680129571.20855210672?sp_atk=c095a8a3-f17b-406b-9662-947ed48053ee&xptdk=c095a8a3-f17b-406b-9662-947ed48053ee,WIN - Parfume Unisex Travel,,101,tersisa 80 buah,
